empty,Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,start,end
125.25,4,4,4,4,4,4,0,0,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4
125.75,4,4,4,4,4,4,1,0,3,2,4,4,4,4,4,4,4,3,3,3,2,2,2,4,4
126.0,3,3,3,3,3,3,0,0,1,0,3,3,3,3,3,3,3,1,1,1,0,0,0,3,3
126.25,7,7,7,7,7,7,5,5,6,6,7,7,7,7,7,7,7,6,6,6,6,6,6,7,7
126.5,5,5,5,5,5,5,1,1,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5
126.75,4,4,4,4,4,4,1,1,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4
127.0,6,6,6,6,6,6,1,1,3,3,6,6,6,6,6,6,6,3,3,3,3,3,3,6,6
127.25,6,6,6,6,6,6,0,0,6,5,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6
127.5,3,3,3,3,3,3,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,3,3
127.75,4,4,4,4,4,4,0,0,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4
128.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128.25,2,2,2,2,2,2,0,0,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
128.5,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2
129.0,6,6,6,6,6,6,1,1,5,5,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6
129.25,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129.5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129.75,6,6,6,6,6,6,0,0,5,5,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6
130.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
130.25,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
130.5,3,3,3,3,3,3,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,3,3
130.75,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
131.0,5,5,5,5,5,5,1,1,3,2,5,5,5,5,5,5,5,3,3,3,2,2,2,5,5
131.25,8,8,8,8,8,8,3,3,7,7,8,8,8,8,8,8,8,7,7,7,7,7,7,8,8
131.5,6,6,6,6,6,6,2,1,5,4,6,6,6,6,6,6,6,5,5,5,4,4,4,6,6
131.75,5,5,5,5,5,5,2,2,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5
132.0,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132.25,3,3,3,3,3,3,0,0,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3
132.5,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
132.75,6,6,6,6,6,6,1,1,6,5,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6
133.0,6,6,6,6,6,6,1,1,3,3,6,6,6,6,6,6,6,3,3,3,3,3,3,6,6
133.25,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
133.5,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
134.0,8,8,8,8,8,8,0,0,6,7,8,8,8,8,8,8,8,6,6,6,7,7,7,8,8
134.25,8,8,8,8,8,8,4,3,8,7,8,8,8,8,8,8,8,8,8,8,7,7,7,8,8
134.5,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
134.75,8,8,8,8,8,8,2,2,7,7,8,8,8,8,8,8,8,7,7,7,7,7,7,8,8
135.0,9,9,9,9,9,9,3,2,8,6,9,9,9,9,9,9,9,8,8,8,6,6,6,9,9
135.25,12,12,12,12,12,12,6,6,12,11,12,12,12,12,12,12,12,12,12,12,11,11,11,12,12
135.5,14,14,14,14,14,14,4,4,11,11,14,14,14,14,14,14,14,11,11,11,11,11,11,14,14
135.75,3,3,3,3,3,3,0,0,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3
136.0,15,15,15,15,15,15,0,0,14,13,15,15,15,15,15,15,15,14,14,14,13,13,13,15,15
136.25,8,8,8,8,8,8,0,0,6,5,8,8,8,8,8,8,8,6,6,6,5,5,5,8,8
136.5,10,10,10,10,10,10,3,3,8,7,10,10,10,10,10,10,10,8,8,8,8,8,8,10,10
136.75,9,9,9,9,9,9,5,4,7,6,9,9,9,9,9,9,9,7,7,7,6,6,6,9,9
137.0,8,8,8,8,8,8,2,3,6,7,8,8,8,8,8,8,8,6,6,6,7,7,7,8,8
137.25,5,5,5,5,5,5,1,1,4,1,5,5,5,5,5,5,5,4,4,4,2,2,2,5,5
137.5,11,11,11,11,11,11,1,1,9,9,11,11,11,11,11,11,11,9,9,9,9,9,9,11,11
137.75,8,8,8,8,8,8,1,1,7,5,8,8,8,8,8,8,8,7,7,7,5,5,5,8,8
138.0,11,10,11,11,11,11,3,3,10,8,11,11,11,11,11,11,11,10,10,10,8,8,8,11,11
138.25,7,7,7,7,7,7,1,0,7,4,7,7,7,7,7,7,7,7,7,7,4,4,4,7,7
138.5,11,11,11,11,11,11,5,4,10,9,11,11,11,11,11,11,11,10,10,10,9,9,9,11,11
138.75,8,8,8,8,8,8,3,3,6,6,8,8,8,8,8,8,8,6,6,6,6,6,6,8,8
139.0,12,12,12,12,12,12,3,3,7,7,12,12,12,12,12,12,12,8,8,8,8,8,8,12,12
139.25,9,9,9,9,9,9,2,1,8,7,9,9,9,9,9,9,9,8,8,8,7,7,7,9,9
139.5,6,6,6,6,6,6,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
139.75,11,11,11,11,11,11,3,3,7,7,11,11,11,11,11,11,11,7,7,7,7,7,7,11,11
140.0,15,15,15,15,15,15,5,4,11,9,15,15,15,15,15,15,15,11,11,11,9,9,9,15,15
140.25,2,2,2,2,2,2,0,0,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2
140.5,18,18,18,18,18,18,5,5,14,15,18,18,18,18,18,18,18,14,14,14,15,15,15,18,18
140.75,8,8,8,8,8,8,1,3,4,6,8,8,8,8,8,8,8,4,4,4,6,6,6,8,8
141.0,8,8,8,8,8,8,2,2,4,4,8,8,8,8,8,8,8,4,4,4,4,4,4,8,8
141.25,17,17,17,17,17,17,6,5,15,13,17,17,17,17,17,17,17,15,15,15,13,13,13,17,17
141.5,12,12,12,12,12,12,3,2,10,9,12,12,12,12,12,12,12,10,10,10,9,9,9,12,12
141.75,14,14,14,14,14,14,4,4,12,12,14,14,14,14,14,14,14,12,12,12,12,12,12,14,14
142.0,11,11,11,11,11,11,3,3,8,8,11,11,11,11,11,11,11,8,8,8,8,8,8,11,11
142.25,8,8,8,8,8,8,0,0,2,2,8,8,8,8,8,8,8,2,2,2,2,2,2,8,8
142.5,13,13,13,13,13,13,4,2,10,7,13,13,13,13,13,13,13,10,10,10,7,7,7,13,13
142.75,12,12,12,12,12,12,1,1,11,10,12,12,12,12,12,12,12,11,11,11,10,10,10,12,12
143.0,11,11,11,11,11,11,3,3,10,10,11,11,11,11,11,11,11,10,10,10,10,10,10,11,11
143.25,15,15,15,15,15,15,2,2,11,11,15,15,15,15,15,15,15,11,11,11,11,11,11,15,15
143.5,12,12,12,12,12,12,3,3,10,10,12,12,12,12,12,12,12,10,10,10,10,10,10,12,12
143.75,16,16,16,16,16,16,5,5,13,12,16,16,16,16,16,16,16,13,13,13,12,12,12,16,16
144.0,14,14,14,14,14,14,6,6,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
144.25,9,9,9,9,9,9,2,2,6,7,9,9,9,9,9,9,9,6,6,6,7,7,7,9,9
144.5,6,6,6,6,6,6,1,1,4,3,6,6,6,6,6,6,6,4,4,4,3,3,3,6,6
144.75,10,10,10,10,10,10,3,3,7,6,10,10,10,10,10,10,10,7,7,7,6,6,6,10,10
145.0,7,7,7,7,7,7,4,4,5,5,7,7,7,7,7,7,7,5,5,5,5,5,5,7,7
145.25,5,5,5,5,5,5,0,0,1,1,5,5,5,5,5,5,5,1,1,1,1,1,1,5,5
145.5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,1,5,5
145.75,5,5,5,5,5,5,0,0,4,2,5,5,5,5,5,5,5,4,4,4,2,2,2,5,5
146.0,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
146.25,6,6,6,6,6,6,2,2,3,4,6,6,6,6,6,6,6,3,3,3,4,4,4,6,6
146.5,4,4,4,4,4,4,1,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,1,4,4
146.75,3,3,3,3,3,3,0,0,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3
147.0,9,9,9,9,8,9,1,1,8,8,9,9,9,9,9,9,9,8,8,8,8,8,8,9,9
147.25,8,8,8,8,8,8,1,0,7,5,8,8,8,8,8,8,8,7,7,7,5,5,5,8,8
147.5,2,2,2,2,2,2,0,0,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
147.75,2,2,2,2,2,2,0,0,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
148.0,4,4,4,4,4,4,1,1,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4
148.25,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
148.5,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,6,6,1,1,1,1,1,1,6,6
148.75,9,9,9,9,9,9,3,3,7,8,9,9,9,9,9,9,9,7,7,7,8,8,8,9,9
149.0,3,3,3,3,2,3,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,3,3
149.25,2,2,2,2,2,2,0,0,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
149.5,3,3,3,3,3,3,1,0,2,1,3,3,3,3,3,3,3,2,2,2,1,1,1,3,3
149.75,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
150.0,2,1,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2
150.25,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
150.5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151.0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151.25,4,4,4,4,4,4,1,1,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4
151.5,4,4,4,4,4,4,1,1,3,2,4,4,4,4,4,4,4,3,3,3,2,2,2,4,4
151.75,4,4,4,4,4,4,0,0,1,1,4,4,4,4,4,4,4,1,1,1,1,1,1,4,4
152.0,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
152.5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152.75,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153.0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
153.25,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
153.5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154.0,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
154.5,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
155.25,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
155.5,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
155.75,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
156.25,4,4,4,4,4,4,1,1,3,2,4,4,4,4,4,4,4,3,3,3,2,2,2,4,4
156.5,3,3,3,3,3,3,1,1,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3
156.75,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
157.0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157.25,3,3,3,3,3,3,0,0,2,1,3,3,3,3,3,3,3,2,2,2,1,1,1,3,3
157.5,6,6,6,6,6,6,3,3,5,5,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6
157.75,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
158.0,8,8,8,8,8,8,2,1,8,6,8,8,8,8,8,8,8,8,8,8,6,6,6,8,8
158.25,6,6,6,6,6,6,3,3,5,4,6,6,6,6,6,6,6,5,5,5,4,4,4,6,6
158.5,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158.75,6,6,6,6,6,6,2,2,5,5,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6
159.0,2,2,2,2,2,2,0,0,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
159.25,7,7,7,7,7,7,1,1,6,6,7,7,7,7,7,7,7,6,6,6,6,6,6,7,7
159.5,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
159.75,6,6,6,6,6,6,1,1,5,5,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6
160.0,6,6,6,6,6,6,2,1,6,5,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6
160.25,6,6,6,6,6,6,0,0,4,5,6,6,6,6,6,6,6,4,4,4,5,5,5,6,6
160.5,5,5,5,5,5,5,2,2,5,3,5,5,5,5,5,5,5,5,5,5,3,3,3,5,5
160.75,3,3,3,3,3,3,1,1,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3
161.0,9,9,9,9,9,9,2,2,7,6,9,9,9,9,9,9,9,7,7,7,6,6,6,9,9
161.25,6,6,6,6,6,6,1,1,4,4,6,6,6,6,6,6,6,4,4,4,4,4,4,6,6
161.5,12,12,12,12,12,12,3,3,10,9,12,12,12,12,12,12,12,10,10,10,9,9,9,12,12
161.75,5,5,5,5,5,5,1,1,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5
162.0,5,5,5,5,5,5,2,2,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5
162.25,6,6,6,6,6,6,2,2,5,5,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6
162.5,6,6,6,6,6,6,1,1,4,4,6,6,6,6,6,6,6,4,4,4,4,4,4,6,6
162.75,9,9,9,9,9,9,3,3,7,7,9,9,9,9,9,9,9,7,7,7,7,7,7,9,9
163.0,11,11,11,11,11,11,1,1,8,9,11,11,11,11,11,11,11,8,8,8,9,9,9,11,11
163.25,10,10,10,10,10,10,2,2,8,7,10,10,10,10,10,10,10,8,8,8,7,7,7,10,10
163.5,7,7,7,7,7,7,3,3,5,5,7,7,7,7,7,7,7,5,5,5,5,5,5,7,7
163.75,9,9,9,9,9,9,2,2,7,7,9,9,9,9,9,9,9,7,7,7,7,7,7,9,9
164.0,7,7,7,7,7,7,0,0,2,2,7,7,7,7,7,7,7,2,2,2,2,2,2,7,7
164.25,7,7,7,7,7,7,4,4,6,6,7,7,7,7,7,7,7,6,6,6,6,6,6,7,7
164.5,6,6,6,6,6,6,2,2,4,4,6,6,6,6,6,6,6,4,4,4,4,4,4,6,6
164.75,8,8,8,8,8,8,3,3,6,5,8,8,8,8,8,8,8,6,6,6,5,5,5,8,8
165.0,7,7,7,7,7,7,1,1,4,4,7,7,7,7,7,7,7,4,4,4,4,4,4,7,7
165.25,11,11,11,11,10,11,3,3,7,7,11,11,11,11,11,11,11,7,7,7,7,7,7,11,11
165.5,9,9,9,9,9,9,1,1,5,6,9,9,9,9,9,9,9,5,5,5,6,6,6,9,9
165.75,10,10,10,10,10,10,2,2,8,7,10,10,10,10,10,10,10,8,8,8,7,7,7,10,10
166.0,14,14,14,14,14,14,3,3,8,7,14,14,14,14,14,14,14,9,9,9,8,8,8,14,14
166.25,14,14,14,14,14,14,6,6,13,12,14,14,14,14,14,14,14,13,13,13,12,12,12,14,14
166.5,10,10,10,10,9,10,1,1,8,8,10,10,10,10,10,10,10,8,8,8,8,8,8,10,10
166.75,11,11,11,11,11,11,2,2,9,8,11,11,11,11,11,11,11,9,9,9,8,8,8,11,11
167.0,9,9,9,9,9,9,2,2,7,7,9,9,9,9,9,9,9,7,7,7,7,7,7,9,9
167.25,11,11,11,11,11,11,3,3,7,6,11,11,11,11,11,11,11,7,7,7,6,6,6,11,11
167.5,15,15,15,15,15,15,5,5,14,15,15,15,15,15,15,15,15,14,14,14,15,15,15,15,15
167.75,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
168.0,11,11,11,11,11,11,2,1,9,7,11,11,11,11,11,11,11,9,9,9,7,7,7,11,11
168.25,7,7,7,7,7,7,1,2,3,5,7,7,7,7,7,7,7,3,3,3,5,5,5,7,7
168.5,14,14,14,14,14,14,2,3,9,10,14,14,14,14,14,14,14,9,9,9,10,10,10,14,14
168.75,4,4,4,4,4,4,2,2,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4
169.0,9,9,9,9,9,9,2,2,6,6,9,9,9,9,9,9,9,6,6,6,6,6,6,9,9
169.25,13,13,13,13,13,13,3,3,9,10,13,13,13,13,13,13,13,9,9,9,10,10,10,13,13
169.5,4,4,4,4,4,4,0,0,1,1,4,4,4,4,4,4,4,1,1,1,1,1,1,4,4
169.75,7,7,7,7,7,7,0,0,4,4,7,7,7,7,7,7,7,4,4,4,4,4,4,7,7
170.0,4,4,4,4,4,4,0,0,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4
170.25,5,5,5,5,5,5,1,1,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5
170.5,9,9,9,9,9,9,2,3,6,7,9,9,9,9,9,9,9,6,6,6,7,7,7,9,9
170.75,4,4,4,4,4,4,1,1,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4
171.0,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
171.25,4,4,4,4,4,4,1,1,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4
171.5,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
171.75,2,2,2,2,2,2,0,0,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2
172.0,5,5,5,5,5,5,2,2,3,3,5,5,5,5,5,5,5,3,3,3,3,3,3,5,5
172.25,9,9,9,9,9,9,3,3,7,7,9,9,9,9,9,9,9,7,7,7,7,7,7,9,9
172.5,4,4,4,4,4,4,0,0,1,1,4,4,4,4,4,4,4,1,1,1,1,1,1,4,4
172.75,3,3,3,3,3,3,0,0,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3
173.0,2,2,2,2,2,2,0,0,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
173.25,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173.5,3,3,3,3,3,3,0,0,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,3,3
173.75,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
174.0,2,2,2,2,2,2,0,0,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
174.25,4,4,4,4,4,4,1,1,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4
174.5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174.75,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175.0,2,2,2,2,2,2,1,0,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2
175.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175.75,3,3,3,3,3,3,1,1,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3
176.0,2,2,2,2,2,2,0,0,1,0,2,2,2,2,2,2,2,1,1,1,0,0,0,2,2
176.5,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
177.0,6,5,6,6,6,6,0,0,5,4,6,6,6,6,6,6,6,5,5,5,4,4,4,6,6
177.5,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
178.0,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
178.25,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178.5,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
179.0,2,2,2,2,2,2,0,0,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
179.5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179.75,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
180.0,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
180.25,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,0,0,0,0,0,0,3,3
180.5,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
180.75,4,4,4,4,4,4,2,2,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4
181.0,2,2,2,2,2,2,0,0,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2
181.25,3,3,3,3,3,3,0,0,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3
181.5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181.75,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
182.0,5,5,5,5,5,5,1,1,4,3,5,5,5,5,5,5,5,4,4,4,3,3,3,5,5
182.5,2,2,2,2,2,2,0,0,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
183.0,3,3,3,3,3,3,0,0,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3
183.25,3,3,3,3,2,3,1,1,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3
183.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184.0,8,8,8,8,7,8,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
184.25,3,3,3,3,3,3,1,1,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3
184.5,2,2,2,2,1,2,0,0,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2
184.75,7,7,7,7,7,7,2,2,6,6,7,7,7,7,7,7,7,6,6,6,6,6,6,7,7
185.25,3,3,3,3,3,3,1,1,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3
185.5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185.75,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
186.0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
186.25,7,7,7,7,7,7,1,1,6,5,7,7,7,7,7,7,7,6,6,6,5,5,5,7,7
186.5,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
186.75,6,6,6,6,6,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
187.0,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
187.25,4,4,4,4,4,4,0,0,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4
187.5,3,3,3,3,3,3,1,1,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3
187.75,7,7,7,7,7,7,1,1,6,6,7,7,7,7,7,7,7,6,6,6,6,6,6,7,7
188.0,5,5,5,5,4,5,0,0,1,2,5,5,5,5,5,5,5,1,1,1,2,2,2,5,5
188.25,8,8,8,8,8,8,2,3,7,6,8,8,8,8,8,8,8,7,7,7,6,6,6,8,8
188.5,6,6,6,6,6,6,1,1,4,5,6,6,6,6,6,6,6,4,4,4,5,5,5,6,6
188.75,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189.0,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,6,6,6,6,6,6,7,7
189.25,5,5,5,5,5,5,1,1,2,2,5,5,5,5,5,5,5,2,2,2,2,2,2,5,5
189.5,6,6,6,6,6,6,1,1,4,4,6,6,6,6,6,6,6,4,4,4,4,4,4,6,6
189.75,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
190.0,3,3,3,3,2,3,0,0,2,1,3,3,3,3,3,3,3,2,2,2,1,1,1,3,3
190.25,4,4,4,4,4,4,0,0,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4
190.5,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
190.75,4,4,4,4,4,4,2,2,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4
191.0,5,5,5,5,5,5,1,1,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5
191.25,8,8,8,8,8,8,2,2,7,7,8,8,8,8,8,8,8,7,7,7,7,7,7,8,8
191.5,5,5,5,5,5,5,1,1,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5
191.75,8,8,8,8,8,8,0,0,3,3,8,8,8,8,8,8,8,3,3,3,3,3,3,8,8
192.0,3,3,3,3,3,3,0,0,2,1,3,3,3,3,3,3,3,2,2,2,1,1,1,3,3
192.25,4,4,4,4,4,4,2,2,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4
192.5,4,4,4,4,4,4,2,2,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4
192.75,4,4,4,4,4,4,0,0,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4
193.0,2,2,2,2,2,2,0,0,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2
193.25,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,0,0,0,0,0,0,3,3
193.75,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
194.0,3,3,3,3,3,3,0,0,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3
