Trip Start Timestamp,PCA_01,PCA_01,PCA_02,PCA_02,PCA_03,PCA_03,PCA_04,PCA_04,PCA_06,PCA_06,PCA_07,PCA_07,PCA_08,PCA_08,PCA_16,PCA_16,PCA_22,PCA_22,PCA_24,PCA_24,PCA_28,PCA_28,PCA_32,PCA_32,PCA_33,PCA_33,PCA_35,PCA_35,PCA_38,PCA_38,PCA_41,PCA_41,PCA_43,PCA_43,PCA_56,PCA_56,PCA_76,PCA_76,PCA_77,PCA_77
12:00:00 AM,1,241,2,246,3,549,4,284,6,1389,7,1195,8,5186,16,260,22,456,24,1132,28,1381,32,1936,33,485,35,103,38,72,41,112,43,100,56,76,76,312,77,415
12:15:00 AM,1,242,2,262,3,579,4,286,6,1283,7,1154,8,5172,16,264,22,422,24,1107,28,1373,32,1681,33,427,35,88,38,60,41,196,43,79,56,83,76,274,77,424
12:30:00 AM,1,241,2,248,3,475,4,252,6,1236,7,1105,8,4530,16,271,22,441,24,1048,28,1244,32,1578,33,338,35,78,38,52,41,139,43,110,56,66,76,278,77,418
12:45:00 AM,1,211,2,206,3,437,4,184,6,1143,7,1001,8,4182,16,201,22,396,24,987,28,1035,32,1320,33,339,35,78,38,43,41,71,43,123,56,48,76,216,77,355
1:00:00 AM,1,204,2,187,3,422,4,216,6,1027,7,914,8,3948,16,210,22,357,24,954,28,910,32,1188,33,338,35,80,38,43,41,48,43,77,56,40,76,204,77,294
1:15:00 AM,1,184,2,182,3,392,4,167,6,1127,7,922,8,3724,16,235,22,310,24,880,28,843,32,1167,33,249,35,64,38,47,41,57,43,77,56,35,76,168,77,264
1:30:00 AM,1,189,2,158,3,377,4,162,6,1128,7,862,8,3619,16,191,22,320,24,754,28,858,32,1051,33,217,35,48,38,36,41,44,43,63,56,38,76,168,77,284
1:45:00 AM,1,192,2,131,3,419,4,141,6,1027,7,866,8,3506,16,169,22,292,24,791,28,747,32,948,33,195,35,43,38,41,41,40,43,73,56,26,76,126,77,261
2:00:00 AM,1,176,2,141,3,377,4,124,6,1104,7,804,8,3301,16,186,22,285,24,717,28,755,32,876,33,216,35,43,38,46,41,37,43,27,56,29,76,77,77,272
2:15:00 AM,1,180,2,175,3,353,4,125,6,1010,7,709,8,2793,16,185,22,278,24,669,28,661,32,750,33,200,35,41,38,40,41,32,43,21,56,20,76,94,77,228
2:30:00 AM,1,188,2,128,3,322,4,115,6,876,7,638,8,2619,16,182,22,249,24,627,28,599,32,649,33,155,35,35,38,31,41,26,43,33,56,20,76,86,77,210
2:45:00 AM,1,138,2,190,3,304,4,127,6,889,7,598,8,2670,16,141,22,224,24,588,28,698,32,623,33,158,35,39,38,25,41,15,43,39,56,15,76,105,77,186
3:00:00 AM,1,148,2,141,3,328,4,98,6,1006,7,598,8,2533,16,148,22,248,24,600,28,585,32,645,33,152,35,36,38,38,41,18,43,34,56,14,76,102,77,230
3:15:00 AM,1,154,2,150,3,282,4,85,6,810,7,530,8,2181,16,134,22,228,24,579,28,509,32,559,33,129,35,33,38,33,41,27,43,24,56,14,76,84,77,208
3:30:00 AM,1,167,2,166,3,274,4,102,6,748,7,497,8,1915,16,115,22,214,24,481,28,439,32,532,33,138,35,16,38,23,41,22,43,29,56,22,76,139,77,225
3:45:00 AM,1,149,2,154,3,254,4,79,6,731,7,425,8,1913,16,121,22,253,24,463,28,455,32,531,33,140,35,23,38,25,41,16,43,20,56,34,76,192,77,185
4:00:00 AM,1,146,2,162,3,343,4,65,6,701,7,387,8,1787,16,107,22,223,24,467,28,379,32,474,33,151,35,32,38,30,41,25,43,32,56,81,76,252,77,206
4:15:00 AM,1,155,2,117,3,330,4,71,6,619,7,282,8,1388,16,117,22,191,24,390,28,375,32,417,33,137,35,21,38,27,41,13,43,39,56,99,76,369,77,209
4:30:00 AM,1,150,2,135,3,253,4,68,6,470,7,267,8,1215,16,253,22,154,24,310,28,321,32,404,33,96,35,22,38,14,41,16,43,17,56,96,76,430,77,178
4:45:00 AM,1,168,2,168,3,254,4,76,6,424,7,251,8,1321,16,118,22,141,24,448,28,361,32,387,33,88,35,25,38,26,41,5,43,22,56,130,76,485,77,214
5:00:00 AM,1,161,2,134,3,321,4,81,6,510,7,218,8,1121,16,94,22,183,24,354,28,379,32,403,33,100,35,36,38,51,41,20,43,22,56,133,76,540,77,224
5:15:00 AM,1,150,2,131,3,322,4,87,6,455,7,189,8,973,16,86,22,129,24,251,28,445,32,466,33,118,35,49,38,30,41,39,43,18,56,197,76,717,77,180
5:30:00 AM,1,100,2,109,3,391,4,110,6,467,7,177,8,947,16,122,22,98,24,216,28,478,32,636,33,109,35,47,38,23,41,41,43,36,56,231,76,872,77,152
5:45:00 AM,1,87,2,114,3,287,4,146,6,339,7,163,8,1141,16,81,22,107,24,202,28,718,32,979,33,152,35,40,38,31,41,31,43,26,56,216,76,989,77,166
6:00:00 AM,1,99,2,166,3,249,4,145,6,325,7,175,8,1078,16,89,22,124,24,375,28,671,32,900,33,195,35,43,38,44,41,26,43,37,56,239,76,1189,77,154
6:15:00 AM,1,87,2,152,3,310,4,160,6,314,7,181,8,1494,16,106,22,125,24,274,28,1207,32,1868,33,175,35,47,38,20,41,39,43,43,56,285,76,1179,77,208
6:30:00 AM,1,131,2,178,3,377,4,116,6,427,7,259,8,1980,16,115,22,118,24,188,28,1572,32,2235,33,189,35,109,38,28,41,77,43,46,56,250,76,1239,77,298
6:45:00 AM,1,156,2,189,3,361,4,120,6,390,7,187,8,2796,16,135,22,114,24,223,28,2047,32,3880,33,251,35,103,38,82,41,58,43,46,56,284,76,1259,77,344
7:00:00 AM,1,157,2,253,3,384,4,105,6,494,7,271,8,3087,16,123,22,83,24,238,28,2223,32,3952,33,390,35,112,38,103,41,63,43,57,56,364,76,1394,77,314
7:15:00 AM,1,215,2,214,3,328,4,119,6,574,7,327,8,3756,16,156,22,96,24,261,28,2664,32,5493,33,468,35,112,38,111,41,123,43,70,56,369,76,1484,77,280
7:30:00 AM,1,231,2,196,3,450,4,184,6,653,7,486,8,5165,16,225,22,132,24,354,28,3519,32,7594,33,497,35,112,38,153,41,114,43,143,56,333,76,1319,77,306
7:45:00 AM,1,205,2,270,3,497,4,198,6,735,7,585,8,6400,16,270,22,146,24,390,28,4197,32,9799,33,674,35,141,38,137,41,186,43,193,56,294,76,1210,77,391
8:00:00 AM,1,263,2,313,3,751,4,167,6,734,7,477,8,7817,16,254,22,172,24,457,28,4449,32,11669,33,798,35,263,38,111,41,207,43,169,56,382,76,1373,77,512
8:15:00 AM,1,276,2,225,3,611,4,254,6,790,7,474,8,7649,16,273,22,177,24,465,28,4817,32,11792,33,821,35,227,38,129,41,209,43,164,56,309,76,1406,77,393
